s,x,y,kappa,n_l,n_r
26.95,-0.381,3.985,0.682,0.409,0.492
27.0,-0.43,3.973,0.765,0.404,0.493
27.05,-0.478,3.959,0.856,0.4,0.493
27.1,-0.525,3.943,0.951,0.397,0.494
27.15,-0.572,3.925,1.047,0.394,0.496
27.2,-0.617,3.904,1.138,0.393,0.497
27.25,-0.661,3.881,1.217,0.392,0.499
27.3,-0.704,3.855,1.278,0.391,0.501
27.35,-0.745,3.827,1.315,0.391,0.503
27.4,-0.784,3.795,1.324,0.392,0.505
27.45,-0.821,3.762,1.306,0.393,0.506
27.5,-0.856,3.726,1.264,0.394,0.507
27.55,-0.888,3.687,1.202,0.395,0.508
27.6,-0.918,3.647,1.127,0.396,0.509
27.65,-0.946,3.606,1.043,0.397,0.508
27.7,-0.971,3.563,0.957,0.398,0.507
27.75,-0.994,3.518,0.872,0.399,0.506
27.8,-1.015,3.473,0.791,0.399,0.504
27.85,-1.035,3.427,0.715,0.399,0.501
27.9,-1.053,3.38,0.645,0.399,0.498
27.95,-1.069,3.333,0.582,0.398,0.494
28.0,-1.084,3.285,0.526,0.397,0.49
28.05,-1.098,3.237,0.475,0.395,0.485
