s,x,y,kappa,n_l,n_r
5.12,5.141,0.232,0.158,0.612,0.552
5.13,5.151,0.233,0.17,0.615,0.553
5.14,5.161,0.234,0.183,0.617,0.554
5.15,5.171,0.236,0.196,0.62,0.555
5.16,5.181,0.237,0.208,0.622,0.555
5.17,5.19,0.239,0.221,0.625,0.556
5.18,5.2,0.24,0.233,0.627,0.557
5.19,5.21,0.242,0.246,0.629,0.558
5.2,5.22,0.243,0.258,0.632,0.559
5.21,5.23,0.245,0.27,0.634,0.56
5.22,5.24,0.246,0.282,0.636,0.561
5.23,5.25,0.248,0.294,0.638,0.562
5.24,5.26,0.249,0.305,0.64,0.563
5.25,5.27,0.251,0.317,0.642,0.564
5.26,5.279,0.253,0.328,0.644,0.566
5.27,5.289,0.254,0.34,0.646,0.567
5.28,5.299,0.256,0.352,0.648,0.568
5.29,5.309,0.258,0.365,0.65,0.57
5.3,5.319,0.26,0.378,0.652,0.571
5.31,5.329,0.261,0.393,0.654,0.572
5.32,5.338,0.263,0.408,0.655,0.574
5.33,5.348,0.265,0.424,0.657,0.575
5.34,5.358,0.267,0.441,0.659,0.577
5.35,5.368,0.269,0.458,0.66,0.579
5.36,5.378,0.271,0.474,0.662,0.581
5.37,5.387,0.273,0.491,0.663,0.582
5.38,5.397,0.275,0.506,0.664,0.584
5.39,5.407,0.278,0.519,0.666,0.587
5.4,5.417,0.28,0.53,0.667,0.589
5.41,5.426,0.282,0.54,0.668,0.591
5.42,5.436,0.285,0.548,0.669,0.593
5.43,5.446,0.287,0.553,0.67,0.596
5.44,5.456,0.289,0.556,0.671,0.598
5.45,5.465,0.292,0.557,0.672,0.601
5.46,5.475,0.294,0.556,0.673,0.603
5.47,5.485,0.297,0.551,0.674,0.606
5.48,5.494,0.3,0.545,0.675,0.609
5.49,5.504,0.303,0.536,0.676,0.612
5.5,5.513,0.305,0.526,0.677,0.615
5.51,5.523,0.308,0.515,0.677,0.618
5.52,5.533,0.311,0.504,0.678,0.621
5.53,5.542,0.314,0.494,0.679,0.624
5.54,5.552,0.317,0.486,0.68,0.627
5.55,5.561,0.32,0.481,0.681,0.63
5.56,5.571,0.323,0.478,0.681,0.633
5.57,5.58,0.326,0.478,0.682,0.637
5.58,5.59,0.329,0.481,0.683,0.64
5.59,5.599,0.333,0.485,0.683,0.643
5.6,5.609,0.336,0.491,0.684,0.647
5.61,5.618,0.339,0.498,0.684,0.651
5.62,5.628,0.342,0.506,0.685,0.654
5.63,5.637,0.346,0.513,0.685,0.658
5.64,5.646,0.349,0.521,0.686,0.662
5.65,5.656,0.353,0.529,0.686,0.663
5.66,5.665,0.356,0.536,0.686,0.665
5.67,5.674,0.36,0.543,0.687,0.666
5.68,5.684,0.363,0.549,0.687,0.668
5.69,5.693,0.367,0.555,0.687,0.67
5.7,5.702,0.371,0.56,0.687,0.672
